Station,M1,M2,M3,M4,M5,M6,M7,M1_MC,M1_Change_%,M2_MC,M2_Change_%,M3_MC,M3_Change_%,M4_MC,M4_Change_%,M5_MC,M5_Change_%,M6_MC,M6_Change_%,M7_MC,M7_Change_%
ALPHA 98.9,1.7,79.0,0.8,1109000,100,195870,24,1.6973497825030763,-0.1558951468778602,79.39063848089654,0.4944790897424573,0.7988635955148573,-0.14205056064284238,1109158.2326351176,0.014268046448836936,99.957,-0.043000000000006366,195057.9670078317,-0.4145775219116254,23.971,-0.12083333333333297
ATHENS DJ,8.3,76.1,3.6,1250000,20,47300,10,8.309175499052184,0.11054818135160856,76.08395012030226,-0.02109051208637608,3.5943833064552346,-0.1560192651323739,1249262.2535804752,-0.05901971356198192,20.085,0.42500000000000426,47431.070317733596,0.2771042658215567,10.026,0.259999999999998
BEST 92.6,3.8,120.3,2.5,1503250,27,91300,11,3.8061861232209804,0.16279271634159356,120.46280848020818,0.13533539501927214,2.5022995615922814,0.09198246369125584,1505685.7582100334,0.16203280958146757,26.941,-0.2185185185185224,91073.80572580465,-0.24774838356555695,11.011,0.09999999999999303
ΔΙΕΣΗ 101.3,7.2,84.4,3.4,1125900,35,53980,1,7.195823831476997,-0.05800234059726171,84.4498782288723,0.0590974275738008,3.3975116498040467,-0.0731867704692109,1129166.9822040529,0.29016628510994336,35.006,0.017142857142857792,53943.4795979262,-0.06765543177806958,0.985,-1.5000000000000013
ΔΡΟΜΟΣ FM,6.9,65.3,2.5,990000,28,32000,1,6.9020350714048515,0.029493788476103653,65.15820572556787,-0.21714283986543562,2.502445556292796,0.09782225171184322,992011.5903971384,0.2031909492058971,27.954,-0.16428571428571206,31989.05894365488,-0.0341908010785005,1.068,6.800000000000006
EASY 97.2,6.8,107.0,4.1,1200300,30,45000,2,6.786234448362575,-0.20243458290330704,107.14774783972065,0.13808209319687018,4.100933477348081,0.02276774019709545,1201310.060241778,0.08415064915253816,30.014,0.04666666666666449,45052.27872245798,0.1161749387955125,2.011,0.550000000000006
ΕΛΛΗΝΙΚΟΣ 93.2,5.5,95.4,2.9,1002300,27,32560,3,5.493414305463143,-0.11973990067012284,95.58576047878124,0.1947174829991965,2.9009965797174146,0.034364817841887454,999606.0128385844,-0.2687805209433931,27.052,0.19259259259259112,32557.37603984314,-0.00805884569060055,3.006,0.19999999999999277
EN LEFKO 87.7,5.1,102.6,2.9,906000,21,29500,3,5.093710564282408,-0.12332226897238338,103.002866309264,0.39265722150487214,2.893123730375906,-0.23711274565840768,905901.7549644957,-0.010843822903348808,20.992,-0.0380952380952339,29604.97080867589,0.3558332497487831,3.044,1.4666666666666681
GALAXY 92.0,3.1,111.9,1.9,1645000,28,96000,1,3.1004582125142663,0.01478104884729852,111.92215817344206,0.019801763576453142,1.8943553616471254,-0.29708622909866017,1648790.6270524855,0.23043325547024177,27.988,-0.04285714285714448,96255.9855347487,0.2666515986965654,0.95,-5.000000000000004
HIT 88.9,5.5,70.5,2.2,1870000,32,58000,5,5.488688162646796,-0.20566977005824974,70.66281414660133,0.2309420519167867,2.194939591051299,-0.2300185885773167,1872518.1396864352,0.13465987627995873,31.911,-0.27812499999999574,58053.48504212655,0.09221558987336376,5.004,0.07999999999999119
KISS FM 92.9,5.4,77.8,2.4,2124000,25,65100,13,5.406236131232559,0.1154839117140464,77.77027492248936,-0.038207040502099575,2.4062466783371184,0.2602782640466021,2121176.3284701356,-0.13294122080340992,24.994,-0.02400000000000091,65184.28056863732,0.12946323907422064,13.024,0.18461538461537796
ΛΑΜΨΗ 92.3,5.7,61.2,2.0,3301000,38,79600,14,5.693285891833246,-0.11779137134656718,61.302619926698696,0.16767961878871498,2.0013814216894574,0.06907108447287147,3302684.3430884727,0.051025237457519766,37.967,-0.08684210526316118,79373.06961310464,-0.2850884257479366,14.015,0.1071428571428612
