Station,M1,M2,M3,M4,M5,M6,M7
ALPHA 98.9,1.6973497825030763,79.39063848089654,0.7988635955148573,1109158.2326351176,99.957,195057.9670078317,23.971
ATHENS DJ,8.309175499052184,76.08395012030226,3.5943833064552346,1249262.2535804752,20.085,47431.070317733596,10.026
BEST 92.6,3.8061861232209804,120.46280848020818,2.5022995615922814,1505685.7582100334,26.941,91073.80572580465,11.011
ΔΙΕΣΗ 101.3,7.195823831476997,84.4498782288723,3.3975116498040467,1129166.9822040529,35.006,53943.4795979262,0.985
ΔΡΟΜΟΣ FM,6.9020350714048515,65.15820572556787,2.502445556292796,992011.5903971384,27.954,31989.05894365488,1.068
EASY 97.2,6.786234448362575,107.14774783972065,4.100933477348081,1201310.060241778,30.014,45052.27872245798,2.011
ΕΛΛΗΝΙΚΟΣ 93.2,5.493414305463143,95.58576047878124,2.9009965797174146,999606.0128385844,27.052,32557.37603984314,3.006
EN LEFKO 87.7,5.093710564282408,103.002866309264,2.893123730375906,905901.7549644957,20.992,29604.97080867589,3.044
GALAXY 92.0,3.1004582125142663,111.92215817344206,1.8943553616471254,1648790.6270524855,27.988,96255.9855347487,0.95
HIT 88.9,5.488688162646796,70.66281414660133,2.194939591051299,1872518.1396864352,31.911,58053.48504212655,5.004
KISS FM 92.9,5.406236131232559,77.77027492248936,2.4062466783371184,2121176.3284701356,24.994,65184.28056863732,13.024
ΛΑΜΨΗ 92.3,5.693285891833246,61.302619926698696,2.0013814216894574,3302684.3430884727,37.967,79373.06961310464,14.015
LOVE RADIO 97.50,4.797262899687161,62.37023621944664,2.1002750441102167,1780654.4537404398,30.045,42871.378720808374,9.03
MAD RADIO,4.2009699679782555,61.25185923625651,1.4029175996609684,348803.5776034503,20.084,30295.158362207643,3.017
ΜΕΛΩΔΙΑ FM 99.2,8.708122523347255,92.52673509151454,4.485848414978874,2004557.3419599596,24.981,53802.17396715863,9.965
MENTA 88.0 FM,5.402071563212478,90.89008968236041,2.796368973650895,1555557.6099757312,22.061,36687.784376551164,1.997
ΜΟΥΣΙΚΟΣ,4.3058333331351495,99.44095632644711,2.3984269901831174,1450861.0788967663,37.005,45368.18931947878,3.025
MUSIC 89.2,3.7021334299819473,62.98317352408712,1.3010422357101843,1347986.5172252657,35.977,63248.32500851025,1.05
ΠΑΡΑΠΟΛΙΤΙΚΑ 90.1,3.6040376511376535,131.54383991406817,2.7045787743070044,999016.1348373583,45.021,67681.8714570741,6.976
PEPPER 96.6,5.68719533380322,115.13744853834835,3.6929796983498453,1246364.5957802748,26.978,43647.370768839886,3.977
REAL FM 97.8,7.8824360099689095,120.66400286574546,5.292210398667463,2177698.1225774717,87.067,89895.15038442845,16.011
RED 96.3,7.795430486886461,70.30172138530091,3.1012018243466573,1600273.2354374067,21.057,45180.30145512628,2.032
ATHENS ROCK FM,7.193268682104999,66.82802988218334,2.700710468301112,1007062.6632866918,23.976,30984.611406672597,9.981
ΡΥΘΜΟΣ 9 49,8.203042235528244,69.28968284021583,3.2049039739346865,2125817.4783282885,28.02,49678.31594245185,17.967
SFERA 102.2,6.797327182263014,78.92421854263209,2.998751714579889,3095865.257840898,45.053,101381.66706254067,18.016
SKAI 100.3,9.30678529229256,95.85256316235491,5.001683242342819,4541724.044024245,110.074,221394.32474198853,31.034
ΣΠΟΡ FM 94.6,6.109959586068011,81.5325615503476,2.804349307004821,2296213.835232292,97.008,103903.88844168923,14.936
SPORT 24 RADIO 103.3,4.208786157945535,121.58500875379988,2.9093719043951687,1890620.405079196,85.942,114999.42877205843,15.962
ΣΤΟ ΚΟΚΚΙΝΟ,1.9009307375407043,130.93204434000737,1.3995082389509086,981085.5107422585,34.996,65254.295971764506,4.983
