Station,Efficiency,Phi,Input_slack_positive,Output_slack_positive,Status,Reference_Stations
ALPHA 98.9,0.6367247842371656,1.5705372631254804,True,True,Μη αποδοτικός - μικτή μη-αποδοτικότητα,ΠΑΡΑΠΟΛΙΤΙΚΑ 90.1 (λ=0.369670); REAL FM 97.8 (λ=0.630330); 
ATHENS DJ,0.9999999999999998,1.0000000000000002,False,False,Αποδοτικός,ATHENS DJ (λ=1.000000); 
BEST 92.6,1.000000000000001,0.999999999999999,False,False,Αποδοτικός,BEST 92.6 (λ=1.000000); 
ΔΙΕΣΗ 101.3,0.9999999999999991,1.0000000000000009,False,False,Αποδοτικός,ΔΙΕΣΗ 101.3 (λ=1.000000); 
ΔΡΟΜΟΣ FM,1.0000000000000016,0.9999999999999986,False,False,Αποδοτικός,ΔΡΟΜΟΣ FM (λ=1.000000); 
EASY 97.2,1.0,1.0,False,False,Αποδοτικός,EASY 97.2 (λ=1.000000); 
ΕΛΛΗΝΙΚΟΣ 93.2,0.9774450449841182,1.023075420077707,True,True,Μη αποδοτικός - μικτή μη-αποδοτικότητα,ΔΡΟΜΟΣ FM (λ=0.117094); EASY 97.2 (λ=0.076598); EN LEFKO 87.7 (λ=0.709358); ΜΕΛΩΔΙΑ FM 99.2 (λ=0.046939); MENTA 88.0 FM (λ=0.050011); 
EN LEFKO 87.7,1.0000000000000002,0.9999999999999999,False,False,Αποδοτικός,EN LEFKO 87.7 (λ=1.000000); 
GALAXY 92.0,1.0000000000000002,0.9999999999999998,False,False,Αποδοτικός,GALAXY 92.0 (λ=1.000000); 
HIT 88.9,0.9191695125433965,1.0879386080081581,True,True,Μη αποδοτικός - μικτή μη-αποδοτικότητα,GALAXY 92.0 (λ=0.112786); ΛΑΜΨΗ 92.3 (λ=0.258799); MENTA 88.0 FM (λ=0.204476); RED 96.3 (λ=0.423938); 
KISS FM 92.9,0.9999999999999998,1.0000000000000002,False,False,Αποδοτικός,KISS FM 92.9 (λ=1.000000); 
ΛΑΜΨΗ 92.3,0.9999999999999998,1.0000000000000002,False,False,Αποδοτικός,ΛΑΜΨΗ 92.3 (λ=1.000000); 
LOVE RADIO 97.50,0.9755809870209133,1.0250302264024782,True,True,Μη αποδοτικός - μικτή μη-αποδοτικότητα,ΛΑΜΨΗ 92.3 (λ=0.014060); MENTA 88.0 FM (λ=0.556132); ΡΥΘΜΟΣ 9 49 (λ=0.429807); 
MAD RADIO,1.0000000000000004,0.9999999999999997,False,False,Αποδοτικός,MAD RADIO (λ=1.000000); 
ΜΕΛΩΔΙΑ FM 99.2,1.0000000000000004,0.9999999999999997,False,False,Αποδοτικός,ΜΕΛΩΔΙΑ FM 99.2 (λ=1.000000); 
MENTA 88.0 FM,0.9999999999999998,1.0000000000000002,False,False,Αποδοτικός,MENTA 88.0 FM (λ=1.000000); 
ΜΟΥΣΙΚΟΣ,0.9784613371574401,1.022012788880481,True,True,Μη αποδοτικός - μικτή μη-αποδοτικότητα,GALAXY 92.0 (λ=0.079933); ΛΑΜΨΗ 92.3 (λ=0.025770); MENTA 88.0 FM (λ=0.489256); PEPPER 96.6 (λ=0.405041); 
MUSIC 89.2,1.0000000000000049,0.9999999999999951,False,False,Αποδοτικός,MUSIC 89.2 (λ=1.000000); 
ΠΑΡΑΠΟΛΙΤΙΚΑ 90.1,0.9999999999999989,1.000000000000001,False,False,Αποδοτικός,ΠΑΡΑΠΟΛΙΤΙΚΑ 90.1 (λ=1.000000); 
PEPPER 96.6,1.0,1.0,False,False,Αποδοτικός,PEPPER 96.6 (λ=1.000000); 
REAL FM 97.8,0.9999999999999998,1.0000000000000002,False,False,Αποδοτικός,REAL FM 97.8 (λ=1.000000); 
RED 96.3,0.9999999999999998,1.0000000000000002,False,False,Αποδοτικός,RED 96.3 (λ=1.000000); 
ATHENS ROCK FM,1.0,1.0,False,False,Αποδοτικός,ATHENS ROCK FM (λ=1.000000); 
ΡΥΘΜΟΣ 9 49,1.0,1.0,False,False,Αποδοτικός,ΡΥΘΜΟΣ 9 49 (λ=1.000000); 
SFERA 102.2,0.9999999999999998,1.0000000000000002,False,False,Αποδοτικός,SFERA 102.2 (λ=1.000000); 
SKAI 100.3,0.9999999999999996,1.0000000000000004,False,False,Αποδοτικός,SKAI 100.3 (λ=1.000000); 
ΣΠΟΡ FM 94.6,0.8439039031621733,1.1849690423908723,True,True,Μη αποδοτικός - μικτή μη-αποδοτικότητα,GALAXY 92.0 (λ=0.131908); ΛΑΜΨΗ 92.3 (λ=0.205377); ΜΕΛΩΔΙΑ FM 99.2 (λ=0.223572); REAL FM 97.8 (λ=0.261195); SKAI 100.3 (λ=0.177948); 
SPORT 24 RADIO 103.3,0.987718077419553,1.0124346439143181,True,True,Μη αποδοτικός - μικτή μη-αποδοτικότητα,ΠΑΡΑΠΟΛΙΤΙΚΑ 90.1 (λ=0.223613); REAL FM 97.8 (λ=0.776387); 
ΣΤΟ ΚΟΚΚΙΝΟ,1.0,1.0,False,False,Αποδοτικός,ΣΤΟ ΚΟΚΚΙΝΟ (λ=1.000000); 
