Station,ALPHA 98.9,ATHENS DJ,BEST 92.6,ΔΙΕΣΗ 101.3,ΔΡΟΜΟΣ FM,EASY 97.2,ΕΛΛΗΝΙΚΟΣ 93.2,EN LEFKO 87.7,GALAXY 92.0,HIT 88.9,KISS FM 92.9,ΛΑΜΨΗ 92.3,LOVE RADIO 97.50,MAD RADIO,ΜΕΛΩΔΙΑ FM 99.2,MENTA 88.0 FM,ΜΟΥΣΙΚΟΣ,MUSIC 89.2,ΠΑΡΑΠΟΛΙΤΙΚΑ 90.1,PEPPER 96.6,REAL FM 97.8,RED 96.3,ATHENS ROCK FM,ΡΥΘΜΟΣ 9 49,SFERA 102.2,SKAI 100.3,ΣΠΟΡ FM 94.6,SPORT 24 RADIO 103.3,ΣΤΟ ΚΟΚΚΙΝΟ
ALPHA 98.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36967035388148023,0.0,0.6303296461185173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATHENS DJ,0.0,0.9999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.800599034119427e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEST 92.6,0.0,0.0,0.9999999999999956,0.0,0.0,0.0,0.0,3.821813701130877e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.430728666814667e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ΔΙΕΣΗ 101.3,0.0,0.0,0.0,0.9999999999999998,-1.734039515868476e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6352593297183544e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ΔΡΟΜΟΣ FM,0.0,0.0,0.0,0.0,1.000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.080509179001514e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EASY 97.2,0.0,0.0,0.0,0.0,0.0,1.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.345526216749403e-16,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ΕΛΛΗΝΙΚΟΣ 93.2,0.0,0.0,0.0,0.0,0.11709434902561311,0.07659755659010356,0.0,0.7093576703498091,0.0,0.0,0.0,0.0,0.0,0.0,0.04693910687704307,0.05001131715743075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EN LEFKO 87.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,1.6727631083747015e-16,0.0,0.0,0.0,0.0,0.0,0.0,-9.324720429968818e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GALAXY 92.0,0.0,0.0,0.0,0.0,0.0,-1.0134103097184877e-15,0.0,3.5826473582565803e-16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HIT 88.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11278629377831716,0.0,0.0,0.25879925156911104,0.0,0.0,0.0,0.20447604812881506,0.0,0.0,0.0,0.0,0.0,0.42393840652375675,0.0,0.0,0.0,0.0,0.0,0.0,0.0
