Station,M5_slack,M6_slack,M7_slack,M1_slack,M2_slack,M3_slack,M4_slack
ALPHA 98.9,28.43315969930093,113374.40730534658,11.299971647319214,3.6350878926347847,-2.4158453015843406e-13,3.080994655464725,-6.984919309616089e-10
ATHENS DJ,-3.552713678800501e-15,-7.275957614183426e-12,1.7763568394002505e-15,-1.7763568394002505e-15,-1.4210854715202004e-14,-8.881784197001252e-16,0.0
BEST 92.6,3.552713678800501e-14,2.9103830456733704e-10,3.730349362740526e-14,7.993605777301127e-15,-1.4210854715202004e-14,3.1086244689504383e-15,-1.6298145055770874e-09
ΔΙΕΣΗ 101.3,0.0,-4.3655745685100555e-11,-3.219646771412954e-15,8.881784197001252e-16,-1.4210854715202004e-14,-4.440892098500626e-16,1.3969838619232178e-09
ΔΡΟΜΟΣ FM,0.0,8.731149137020111e-11,4.884981308350689e-15,-8.881784197001252e-16,1.4210854715202004e-14,-8.881784197001252e-16,-2.0954757928848267e-09
EASY 97.2,-7.105427357601002e-15,-7.275957614183426e-12,2.6645352591003757e-15,0.0,1.4210854715202004e-14,0.0,-2.3283064365386963e-10
ΕΛΛΗΝΙΚΟΣ 93.2,4.313023791153956,2.1827872842550278e-11,3.9968028886505635e-15,-5.329070518200751e-15,-5.684341886080802e-14,0.04187674627974092,-8.149072527885437e-10
EN LEFKO 87.7,7.105427357601002e-15,2.1827872842550278e-11,-1.3322676295501878e-15,-1.7763568394002505e-15,0.0,-4.440892098500626e-16,-6.984919309616089e-10
GALAXY 92.0,2.1316282072803006e-14,2.9103830456733704e-11,9.992007221626409e-16,-3.9968028886505635e-15,-4.263256414560601e-14,-2.6645352591003757e-15,-4.656612873077393e-10
HIT 88.9,5.490688901467486,3.637978807091713e-11,-1.0658141036401503e-14,0.26112818285073924,0.0,0.23016284759072692,2.0954757928848267e-09
KISS FM 92.9,3.552713678800501e-15,2.1827872842550278e-11,-3.019806626980426e-14,-2.6645352591003757e-15,1.4210854715202004e-14,3.1086244689504383e-15,-4.656612873077393e-10
ΛΑΜΨΗ 92.3,-1.4210854715202004e-14,1.4551915228366852e-11,1.7763568394002505e-15,1.1546319456101628e-14,2.1316282072803006e-14,3.9968028886505635e-15,0.0
LOVE RADIO 97.50,5.199134708571698,-8.003553375601768e-11,-3.552713678800501e-15,1.6927043891163125,17.25868987642052,0.807937132521142,3.026798367500305e-09
MAD RADIO,-7.105427357601002e-15,-7.275957614183426e-12,-1.7763568394002505e-15,1.7763568394002505e-15,4.973799150320701e-14,8.881784197001252e-16,-5.820766091346741e-11
ΜΕΛΩΔΙΑ FM 99.2,1.0658141036401503e-14,2.1827872842550278e-11,0.0,-1.7763568394002505e-15,-2.842170943040401e-14,-8.881784197001252e-16,-2.3283064365386963e-10
MENTA 88.0 FM,-1.4210854715202004e-14,-4.3655745685100555e-11,-1.5543122344752192e-15,7.105427357601002e-15,2.842170943040401e-14,2.220446049250313e-15,9.313225746154785e-10
ΜΟΥΣΙΚΟΣ,12.068746869926272,6.548361852765083e-11,5.773159728050814e-15,0.9404712136988662,-3.268496584496461e-13,0.6157217183465691,-4.423782229423523e-09
MUSIC 89.2,-2.913225216616411e-13,2.9103830456733704e-11,9.992007221626409e-15,-8.881784197001252e-16,-6.536993168992922e-13,-2.1538326677728037e-14,1.1641532182693481e-09
ΠΑΡΑΠΟΛΙΤΙΚΑ 90.1,-4.973799150320701e-14,-1.0186340659856796e-10,-7.993605777301127e-15,1.1546319456101628e-14,1.4210854715202004e-13,7.105427357601002e-15,2.2118911147117615e-09
PEPPER 96.6,-1.0658141036401503e-14,-1.4551915228366852e-11,-4.440892098500626e-16,3.552713678800501e-15,5.684341886080802e-14,1.3322676295501878e-15,4.656612873077393e-10
REAL FM 97.8,-2.842170943040401e-14,-4.3655745685100555e-11,7.105427357601002e-15,3.552713678800501e-15,9.947598300641403e-14,3.552713678800501e-15,0.0
RED 96.3,-1.0658141036401503e-14,-2.1827872842550278e-11,-3.9968028886505635e-15,2.6645352591003757e-15,2.842170943040401e-14,8.881784197001252e-16,2.3283064365386963e-10
ATHENS ROCK FM,0.0,-3.637978807091713e-12,-1.7763568394002505e-15,8.881784197001252e-16,0.0,0.0,0.0
ΡΥΘΜΟΣ 9 49,-1.4210854715202004e-14,7.275957614183426e-12,-3.552713678800501e-14,5.329070518200751e-15,-2.842170943040401e-14,-1.3322676295501878e-15,4.656612873077393e-10
SFERA 102.2,-7.105427357601002e-15,0.0,0.0,-8.881784197001252e-16,-1.4210854715202004e-14,0.0,0.0
SKAI 100.3,-2.842170943040401e-14,-5.820766091346741e-11,-7.105427357601002e-15,0.0,-1.4210854715202004e-14,-1.7763568394002505e-15,0.0
ΣΠΟΡ FM 94.6,37.60463905473455,1.7462298274040222e-10,1.7763568394002505e-14,-1.7763568394002505e-14,-1.7053025658242404e-13,0.6130986511668985,-3.725290298461914e-09
SPORT 24 RADIO 103.3,8.277029011039374,30071.45464471262,1.9713427701741146,2.664609926914233,2.984279490192421e-13,1.7680336163434154,-4.656612873077393e-10
ΣΤΟ ΚΟΚΚΙΝΟ,-7.105427357601002e-15,0.0,-8.881784197001252e-16,3.3306690738754696e-15,2.842170943040401e-14,1.9984014443252818e-15,2.3283064365386963e-10
