Station,Efficiency,M5_target,M6_target,M7_target,M1_target,M2_target,M3_target,M4_target
ALPHA 98.9,0.6367247842371656,71.52384030069906,81683.55970248512,12.671028352680786,6.300838974613796,124.68595607757146,4.33563970037521,1741974.3350558518
ATHENS DJ,0.9999999999999998,20.085000000000004,47431.0703177336,10.025999999999998,8.309175499052184,76.08395012030226,3.5943833064552346,1249262.2535804755
BEST 92.6,1.000000000000001,26.940999999999963,91073.80572580436,11.010999999999962,3.8061861232209844,120.46280848020805,2.502299561592282,1505685.7582100304
ΔΙΕΣΗ 101.3,0.9999999999999991,35.006,53943.47959792624,0.9850000000000032,7.195823831477004,84.44987822887235,3.3975116498040494,1129166.9822040552
ΔΡΟΜΟΣ FM,1.0000000000000016,27.954,31989.058943654793,1.0679999999999952,6.902035071404841,65.15820572556778,2.5024455562927916,992011.5903971349
EASY 97.2,1.0,30.014000000000006,45052.27872245799,2.0109999999999975,6.786234448362575,107.14774783972067,4.100933477348081,1201310.0602417777
ΕΛΛΗΝΙΚΟΣ 93.2,0.9774450449841182,22.738976208846044,32557.37603984312,3.005999999999996,5.620177148222585,97.79144205527615,3.0098150407181263,1022672.3414970357
EN LEFKO 87.7,1.0000000000000002,20.991999999999994,29604.97080867587,3.0440000000000014,5.093710564282405,103.00286630926398,2.893123730375905,905901.7549644948
GALAXY 92.0,1.0000000000000002,27.98799999999998,96255.98553474867,0.949999999999999,3.1004582125142615,111.92215817344199,1.8943553616471223,1648790.6270524845
HIT 88.9,0.9191695125433965,26.420311098532515,58053.485042126515,5.00400000000001,6.23248394231155,76.87680366059264,2.618122370941073,2037184.7783604881
KISS FM 92.9,0.9999999999999998,24.993999999999996,65184.280568637296,13.02400000000003,5.406236131232557,77.77027492248939,2.406246678337122,2121176.3284701356
ΛΑΜΨΗ 92.3,0.9999999999999998,37.96700000000001,79373.06961310463,14.014999999999999,5.693285891833258,61.30261992669873,2.001381421689462,3302684.3430884737
LOVE RADIO 97.50,0.9755809870209133,24.845865291428304,42871.378720808454,9.030000000000003,6.610043865294853,81.19006722921596,2.9607825364929123,1825224.6378621473
MAD RADIO,1.0000000000000004,20.084000000000007,30295.15836220765,3.0170000000000017,4.2009699679782555,61.251859236256536,1.4029175996609689,348803.5776034501
ΜΕΛΩΔΙΑ FM 99.2,1.0000000000000004,24.98099999999999,53802.17396715861,9.965,8.70812252334725,92.52673509151448,4.4858484149788715,2004557.3419599587
MENTA 88.0 FM,0.9999999999999998,22.061000000000014,36687.78437655121,1.9970000000000017,5.402071563212486,90.89008968236045,2.796368973650898,1555557.6099757324
ΜΟΥΣΙΚΟΣ,0.9784613371574401,24.93625313007373,45368.18931947871,3.024999999999994,5.341087946950858,101.629929104134,3.0669447755098354,1482798.5775214233
MUSIC 89.2,1.0000000000000049,35.97700000000029,63248.32500851022,1.04999999999999,3.702133429981928,62.98317352408616,1.3010422357101563,1347986.5172252604
ΠΑΡΑΠΟΛΙΤΙΚΑ 90.1,0.9999999999999989,45.02100000000005,67681.8714570742,6.976000000000008,3.604037651137669,131.54383991406846,2.7045787743070147,999016.1348373616
PEPPER 96.6,1.0,26.978000000000012,43647.3707688399,3.9770000000000003,5.687195333803223,115.13744853834841,3.6929796983498466,1246364.5957802753
REAL FM 97.8,0.9999999999999998,87.06700000000002,89895.15038442849,16.010999999999992,7.882436009968915,120.66400286574559,5.292210398667468,2177698.122577472
RED 96.3,0.9999999999999998,21.05700000000001,45180.301455126304,2.032000000000004,7.795430486886465,70.30172138530095,3.101201824346659,1600273.2354374074
ATHENS ROCK FM,1.0,23.976,30984.6114066726,9.981000000000002,7.193268682105,66.82802988218334,2.700710468301112,1007062.6632866918
ΡΥΘΜΟΣ 9 49,1.0,28.020000000000014,49678.315942451845,17.967000000000034,8.20304223552825,69.2896828402158,3.204903973934685,2125817.478328289
SFERA 102.2,0.9999999999999998,45.053000000000004,101381.66706254067,18.016,6.797327182263015,78.92421854263209,2.9987517145798894,3095865.2578408984
SKAI 100.3,0.9999999999999996,110.07400000000003,221394.3247419886,31.034000000000006,9.306785292292563,95.85256316235494,5.0016832423428195,4541724.044024247
ΣΠΟΡ FM 94.6,0.8439039031621733,59.40336094526545,103903.88844168905,14.935999999999982,7.240112959749924,96.61356138399007,3.9361657640179075,2720942.309459877
SPORT 24 RADIO 103.3,0.987718077419553,77.66497098896062,84927.9741273458,13.990657229825885,6.925730842045332,123.09687504297294,4.7135825243840594,1914129.5965934992
ΣΤΟ ΚΟΚΚΙΝΟ,1.0,34.99600000000001,65254.295971764506,4.9830000000000005,1.9009307375407076,130.9320443400074,1.3995082389509106,981085.5107422587
