Station,Efficiency,Phi,Status,Reference_Stations,Efficiency_%
ALPHA 98.9,0.6367247842371656,1.5705372631254804,Μη αποδοτικός - μικτή μη-αποδοτικότητα,ΠΑΡΑΠΟΛΙΤΙΚΑ 90.1 (λ=0.369670); REAL FM 97.8 (λ=0.630330); ,63.67247842371656
ATHENS DJ,0.9999999999999998,1.0000000000000002,Αποδοτικός,ATHENS DJ (λ=1.000000); ,99.99999999999997
BEST 92.6,1.000000000000001,0.999999999999999,Αποδοτικός,BEST 92.6 (λ=1.000000); ,100.00000000000011
ΔΙΕΣΗ 101.3,0.9999999999999991,1.0000000000000009,Αποδοτικός,ΔΙΕΣΗ 101.3 (λ=1.000000); ,99.99999999999991
ΔΡΟΜΟΣ FM,1.0000000000000016,0.9999999999999986,Αποδοτικός,ΔΡΟΜΟΣ FM (λ=1.000000); ,100.00000000000016
EASY 97.2,1.0,1.0,Αποδοτικός,EASY 97.2 (λ=1.000000); ,100.0
ΕΛΛΗΝΙΚΟΣ 93.2,0.9774450449841182,1.023075420077707,Μη αποδοτικός - μικτή μη-αποδοτικότητα,ΔΡΟΜΟΣ FM (λ=0.117094); EASY 97.2 (λ=0.076598); EN LEFKO 87.7 (λ=0.709358); ΜΕΛΩΔΙΑ FM 99.2 (λ=0.046939); MENTA 88.0 FM (λ=0.050011); ,97.74450449841183
EN LEFKO 87.7,1.0000000000000002,0.9999999999999999,Αποδοτικός,EN LEFKO 87.7 (λ=1.000000); ,100.00000000000003
GALAXY 92.0,1.0000000000000002,0.9999999999999998,Αποδοτικός,GALAXY 92.0 (λ=1.000000); ,100.00000000000003
HIT 88.9,0.9191695125433965,1.0879386080081581,Μη αποδοτικός - μικτή μη-αποδοτικότητα,GALAXY 92.0 (λ=0.112786); ΛΑΜΨΗ 92.3 (λ=0.258799); MENTA 88.0 FM (λ=0.204476); RED 96.3 (λ=0.423938); ,91.91695125433965
KISS FM 92.9,0.9999999999999998,1.0000000000000002,Αποδοτικός,KISS FM 92.9 (λ=1.000000); ,99.99999999999997
ΛΑΜΨΗ 92.3,0.9999999999999998,1.0000000000000002,Αποδοτικός,ΛΑΜΨΗ 92.3 (λ=1.000000); ,99.99999999999997
LOVE RADIO 97.50,0.9755809870209133,1.0250302264024782,Μη αποδοτικός - μικτή μη-αποδοτικότητα,ΛΑΜΨΗ 92.3 (λ=0.014060); MENTA 88.0 FM (λ=0.556132); ΡΥΘΜΟΣ 9 49 (λ=0.429807); ,97.55809870209133
MAD RADIO,1.0000000000000004,0.9999999999999997,Αποδοτικός,MAD RADIO (λ=1.000000); ,100.00000000000004
ΜΕΛΩΔΙΑ FM 99.2,1.0000000000000004,0.9999999999999997,Αποδοτικός,ΜΕΛΩΔΙΑ FM 99.2 (λ=1.000000); ,100.00000000000004
MENTA 88.0 FM,0.9999999999999998,1.0000000000000002,Αποδοτικός,MENTA 88.0 FM (λ=1.000000); ,99.99999999999997
ΜΟΥΣΙΚΟΣ,0.9784613371574401,1.022012788880481,Μη αποδοτικός - μικτή μη-αποδοτικότητα,GALAXY 92.0 (λ=0.079933); ΛΑΜΨΗ 92.3 (λ=0.025770); MENTA 88.0 FM (λ=0.489256); PEPPER 96.6 (λ=0.405041); ,97.84613371574402
MUSIC 89.2,1.0000000000000049,0.9999999999999951,Αποδοτικός,MUSIC 89.2 (λ=1.000000); ,100.00000000000048
ΠΑΡΑΠΟΛΙΤΙΚΑ 90.1,0.9999999999999989,1.000000000000001,Αποδοτικός,ΠΑΡΑΠΟΛΙΤΙΚΑ 90.1 (λ=1.000000); ,99.99999999999989
PEPPER 96.6,1.0,1.0,Αποδοτικός,PEPPER 96.6 (λ=1.000000); ,100.0
REAL FM 97.8,0.9999999999999998,1.0000000000000002,Αποδοτικός,REAL FM 97.8 (λ=1.000000); ,99.99999999999997
RED 96.3,0.9999999999999998,1.0000000000000002,Αποδοτικός,RED 96.3 (λ=1.000000); ,99.99999999999997
ATHENS ROCK FM,1.0,1.0,Αποδοτικός,ATHENS ROCK FM (λ=1.000000); ,100.0
ΡΥΘΜΟΣ 9 49,1.0,1.0,Αποδοτικός,ΡΥΘΜΟΣ 9 49 (λ=1.000000); ,100.0
SFERA 102.2,0.9999999999999998,1.0000000000000002,Αποδοτικός,SFERA 102.2 (λ=1.000000); ,99.99999999999997
SKAI 100.3,0.9999999999999996,1.0000000000000004,Αποδοτικός,SKAI 100.3 (λ=1.000000); ,99.99999999999996
ΣΠΟΡ FM 94.6,0.8439039031621733,1.1849690423908723,Μη αποδοτικός - μικτή μη-αποδοτικότητα,GALAXY 92.0 (λ=0.131908); ΛΑΜΨΗ 92.3 (λ=0.205377); ΜΕΛΩΔΙΑ FM 99.2 (λ=0.223572); REAL FM 97.8 (λ=0.261195); SKAI 100.3 (λ=0.177948); ,84.39039031621733
SPORT 24 RADIO 103.3,0.987718077419553,1.0124346439143181,Μη αποδοτικός - μικτή μη-αποδοτικότητα,ΠΑΡΑΠΟΛΙΤΙΚΑ 90.1 (λ=0.223613); REAL FM 97.8 (λ=0.776387); ,98.7718077419553
ΣΤΟ ΚΟΚΚΙΝΟ,1.0,1.0,Αποδοτικός,ΣΤΟ ΚΟΚΚΙΝΟ (λ=1.000000); ,100.0
