Cardinality,Dimension,Outputs,EfficientUnits,InefficientUnits,Time_Phase1,Time_Phase2,Time_HD_Total,Time_Standard_DEA,HD_Matches_DEA
1500,3,3,116,1384,19.459214,12.0259246,31.4851386,26.7795241,1
1500,4,4,194,1306,21.2480992,12.4433206,33.6914198,26.123317,1
1500,5,5,382,1118,32.2255214,12.6833967,44.9089181,29.4722961,1
3000,3,3,131,2869,39.3940372,24.3926644,63.7867016,75.2378893,1
3000,4,4,291,2709,49.4111556,27.1579272,76.5690828,90.516085,1
3000,5,5,527,2473,72.1120724,30.928632,103.0407044,99.9002171,1
5000,3,3,152,4848,61.8890694,44.6080307,106.4971001,190.4886015,1
5000,4,4,267,4733,76.6002839,32.824307,109.4245909,362.5305842,1
5000,5,5,666,4334,111.4309764,45.7422398,157.1732162,232.2223139,1
7500,3,3,184,7316,66.6163123,47.8776217,114.493934,377.5861269,1
7500,4,4,412,7088,115.6494981,59.192172,174.8416701,441.1728859,1
7500,5,5,781,6719,217.4840046,79.8269105,297.3109151,517.9737386,1
